event,filter,included_points,nominal_frequency_hz,status,canonical_response,pivot_wavelength_angstrom,response_source
090424,uvot-u,38,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
090424,uvot-v,12,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
090424,uvw1,11,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
090424,uvw2,2,1.55e+15,integrated_verified,uvw2,2057.9601,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw2_20041120v105.arf
090618,B,119,6.86e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
090618,i,49,3.93e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
090618,R,146,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
090618,V,82,5.47e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,B,4,6.86e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,g,40,6.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,H,24,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,i,42,3.93e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,J,36,2.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,K,42,1.36e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,R,75,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,r,42,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,uvm2,12,1.33e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
111228A,uvot-b,10,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
111228A,uvot-u,12,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
111228A,uvot-v,10,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
111228A,uvw1,15,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
111228A,uvw2,11,1.55e+15,integrated_verified,uvw2,2057.9601,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw2_20041120v105.arf
111228A,V,29,5.47e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
111228A,z,37,3.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
130612A,I,10,3.72e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
130612A,R,10,4.56e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
130612A,V,10,5.44e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,B,3,6.86e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,H,8,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,i,12,3.93e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,J,8,2.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,R,38,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,r,12,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
131030A,S,1,3.45e+11,radio_frequency_channel,,,modeled at measured frequency
131030A,z,9,3.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,g,2,6.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,H,1,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,i,2,3.93e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,J,1,2.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,K,1,1.36e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,R,4,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,r,2,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
140506A,uvm2,3,1.33e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
140506A,uvot-b,6,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
140506A,uvot-u,12,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
140506A,uvot-v,6,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
140506A,uvw1,5,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
140506A,uvw2,5,1.55e+15,integrated_verified,uvw2,2057.9601,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw2_20041120v105.arf
140506A,z,2,3.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
160131A,g,40,6.47e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
160131A,i,75,4.03e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
160131A,r,78,4.9e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
160131A,uvm2,6,1.34e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
160131A,uvot-b,15,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
160131A,uvot-u,12,8.66e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
160131A,uvot-v,7,5.49e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
160131A,uvw1,10,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
160131A,z,20,3.37e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
171010A,g,4,6.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
171010A,i,8,3.93e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
171010A,r,9,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
171010A,z,3,3.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
210905A,H,11,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
210905A,i,2,3.94e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
210905A,Ic,3,3.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
210905A,J,7,2.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
210905A,K,7,1.36e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
210905A,z,4,3.29e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,F125W,1,2.4e+14,integrated_verified,hst-wfc3-ir-f125w,12486.0694,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/hst_wfc3/HST_WFC3_IR_F125W.xml
220101A,F775W,1,3.9e+14,integrated_verified,hst-wfc3-uvis2-f775w,7648.3071,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/hst_wfc3/HST_WFC3_UVIS2_F775W.xml
220101A,H,2,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,I,4,3.72e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,i,19,3.94e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,J,4,2.4e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,K,3,1.36e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,R,3,4.56e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,r,16,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
220101A,z,4,3.29e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
221009A,g,8,6.29e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
221009A,i,26,3.94e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
221009A,Ka,3,2.29e+11,radio_frequency_channel,,,modeled at measured frequency
221009A,Kb,1,2.72e+11,radio_frequency_channel,,,modeled at measured frequency
221009A,Kc,1,2.9e+11,radio_frequency_channel,,,modeled at measured frequency
221009A,Kd,1,3.41e+11,radio_frequency_channel,,,modeled at measured frequency
221009A,r,24,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
221009A,uvot-b,5,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
221009A,uvot-u,7,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
221009A,uvot-v,7,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
221009A,z,28,3.29e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
